AnimationName,DisplayName,en,zh-Hant,ja,ko,fr,hu,es,zh-Hans,de,ru
ANIM/Alert-Bits,Alert Bits,Alert Bits,警報位,ビッツアラート,경고 비트,Bits d'alerte,Figyelmeztető bitek,Alerta de Bits,通知/提示 Bits,Alert Bits,Биты оповещений
ANIM/Alert-Donation,Alert Donation,Alert Donation,警報捐贈,寄付アラート,알림 기부,Alerte Don,Figyelmeztető adományozás,Alerta de donación,通知/提示 硬币,Alert Spende,Оповещение о пожертвовании
ANIM/Alert-Heart,Alert Heart,Alert Heart,警惕之心,ハートアラート,경고 심장,Coeur d'alerte,Figyelmes szív,Alerta de corazón,通知/提示 爱心/喜欢,Alert Herz,Бдительное сердце
ANIM/Alert-Like,Alert Like,Alert Like,提醒喜歡,いいねアラート,좋아요 알림,Alerte J'aime,Alert Like,Alerta de Like,通知/提示 点赞,Alert Like,Оповещение лайком
ANIM/Alert-Star,Alert Star,Alert Star,警報星,星アラート,경고 스타,Étoile d'alerte,Figyelmeztető csillag,Alerta de estrella,通知/提示 星星/收藏,Alert Stern,Тревога Звезда
ANIM/Angry,Angry,Angry,生氣的,怒り顔,화난,En colère,Dühös,Enojado,生气,Wütend,Злой
ANIM/Arrive,Arrive,Arrive,到達,登場,도착하다,Arriver,Megérkezik,Llegando,到达,Ankommen,Приезжать
ANIM/Arrive-Chopstick,Arrive (with Chopstick),Arrive (with Chopstick),到達（用筷子）,登場（箸）,도착(젓가락 사용),Arriver (avec une baguette),Érkezés (pálcikával),Llegando(con palillos),到达(拿筷子),Ankommen (Essstäbchen),Прибытие (с палочками для еды)
ANIM/Arrive-Spoon,Arrive (with Spoon),Arrive (with Spoon),到達（用湯匙）,登場（スプーン）,도착 (스푼 포함),Arriver (avec une cuillère),Érkezés (kanállal),Llegando(con cuchara),到达(拿勺子),Ankommen (Löffel),Прибытие (с ложкой)
ANIM/Bonk,Bonk,Bonk,邦克,ボンク,봉크,Bonk,Bonk,Bonk,敲头,Bonk,Бонк
ANIM/Copium,Copium,Copium,科皮姆,コピウム（現実逃避）,코피움,Copie,Copium,Copium,自我安慰,Copium,Копиум
ANIM/Crowbar-1,Crowbar 1,Crowbar 1,撬棍1,バール1,크로우바 1,Pied de biche 1,Vargavas 1,Palanca 1,撬棍 1,Brecheisen 1,Лом 1
ANIM/Crowbar-2,Crowbar 2,Crowbar 2,撬棍2,バール2,크로우바 2,Pied de biche 2,Vargavas 2,Palanca 2,撬棍 2,Brecheisen 2,Лом 2
ANIM/Crowbar-3,Crowbar 3,Crowbar 3,撬棍3,バール3,크로우바 3,Pied de biche 3,Vargavas 3,Palanca 3,撬棍 3,Brecheisen 3,Лом 3
ANIM/Cry-1,Cry 1,Cry 1,哭泣1,泣き顔1,울다 1,Pleurer 1,Sírás 1,Llorar 1,哭 1,Weinen 1,Плачь 1
ANIM/Cry-2,Cry 2,Cry 2,哭泣2,泣き顔2,울다 2,Pleurer 2,Sírás 2,llorar 2,哭 2,Weinen 2,Плачь 2
ANIM/Cry-3,Cry 3,Cry 3,哭泣3,泣き顔3,울다 3,Pleurer 3,Sírás 3,Llorar 3,哭 3,Weinen 3,Плачь 3
ANIM/Dead,Dead,Dead,死的,ダウン,죽은,Mort,Halott,Muerto,死亡,Tot,Мертвый
ANIM/Dizzy,Dizzy,Dizzy,暈眩的,目まわし,어지러운,Vertigineux,Szédül,Mareado,头晕,Schwindlig,Испытывающий головокружение
ANIM/Drink-BeverageCup,Drink (Beverage Cup),Drink (Beverage Cup),飲料（飲料杯）,ドリンク（カップ）,음료(음료컵),Boisson (tasse de boisson),Ital (italos csésze),Bebiendo (Vaso de bebida),喝(饮料杯),Getränk (Becher),Напиток (Чашка для напитков)
