GroupName,DisplayName,en,zh-Hant,ja,ko,fr,hu,es,zh-Hans,de,ru
Ahoge,Hair Ahoge,Hair Ahoge,頭髮奧格,アホ毛,헤어 아호게,Cheveux Ahoge,Haj Ahoge,Ahoge,头发呆毛,Haare Ahoge,Волосы Ахоге
AhogeOutline,Hair Ahoge Outline,Hair Ahoge Outline,頭髮輪廓,アホ毛 輪郭,헤어 아호게 윤곽선,Aperçu des cheveux Ahoge,Haj Ahoge vázlat,Contorno del Ahoge,头发呆毛轮廓,Haare Ahoge Umriss,Наброски волос Ахоге
AnimalEarLeft,Animal Ear >>,Animal Ear >>,獸耳>>,ケモ耳 >>,동물의 귀 >>,Oreille d'animal >>,Állati fül >>,Oreja de animal >>,兽耳 >>,Tierohr >>,Ухо животного >>
AnimalEarLeftFur,Animal Ear >> Fur,Animal Ear >> Fur,獸耳 >> 毛皮,ケモ耳 毛 >>,동물의 귀 >> 모피,Oreille d'animal >> Fourrure,Állati fül >> Szőrme,Orejas de animal >> Pelaje,兽耳 >> 毛,Tierohr >> Fell,Уши животных >> Мех
AnimalEarLeftFurOutline,Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,動物耳朵 >> 毛皮輪廓,ケモ耳 毛 輪郭 >>,동물의 귀 >> 모피 개요,Oreille d'animal >> Contour de fourrure,Állati fül >> Szőrme körvonala,Orejas de animal >> Contorno del pelaje,兽耳 >> 毛轮廓,Tierohr >> Fellumriss,Ухо животного >> Контур меха
AnimalEarLeftOutline,Animal Ear >> Outline,Animal Ear >> Outline,獸耳 >> 摘要,ケモ耳 輪郭 >>,동물의 귀 >> 개요,Oreille d'animal >> Aperçu,Állati fül >> Vázlat,Orejas de animal >> Contorno,兽耳 >> 轮廓,Tierohr >> Umriss,Ухо животного >> Схема
AnimalEarRight,Animal Ear <<,Animal Ear <<,獸耳<<,ケモ耳 <<,동물의 귀 <<,Oreille d'animal <<,Állati fül <<,Orejas de animal <<,兽耳 <<,Tierohr <<,Ухо животного <<
AnimalEarRightFur,Animal Ear << Fur,Animal Ear << Fur,動物耳朵 << 毛皮,ケモ耳 毛 <<,동물의 귀 << 모피,Oreille d'animal << Fourrure,Állati fül << Szőrme,Orejas de animal << Pelaje,兽耳 << 毛,Tierohr << Fell,Ухо животного << Мех
AnimalEarRightFurOutline,Animal Ear << Fur Outline,Animal Ear << Fur Outline,動物耳朵 << 毛皮輪廓,ケモ耳 毛 輪郭 <<,동물 귀 << 모피 개요,Oreille d'animal << Contour de fourrure,Állati fül << szőrme körvonala,Orejas de animal << Contorno del pelaje,兽耳 << 毛轮廓,Tierohr << Fellumriss,Ухо животного << Контур меха
AnimalEarRightOutline,Animal Ear << Outline,Animal Ear << Outline,動物耳朵<<大綱,ケモ耳 輪郭 <<,동물의 귀 << 개요,Oreille d'animal << Aperçu,Állati fül << Vázlat,Orejas de animal << Contorno,兽耳 << 轮廓,Tierohr << Umriss,Ухо животного << Схема
AntennaLeft,Antenna >>,Antenna >>,天線>>,アンテナ >>,안테나 >>,Antenne >>,Antenna >>,Antena >>,触角 >>,Antenne >>,Антенна >>
AntennaLeftOutline,Antenna >> Outline,Antenna >> Outline,天線 >> 摘要,アンテナ 輪郭 >>,안테나 >> 개요,Antenne >> Aperçu,Antenna >> Vázlat,Antena >> Contorno,触角 >> 轮廓,Antenne >> Umriss,Антенна >> Схема
AntennaRight,Antenna <<,Antenna <<,天線 <<,アンテナ <<,안테나 <<,Antenne <<,Antenna <<,Antena <<,触角 <<,Antenne <<,Антенна <<
AntennaRightOutline,Antenna << Outline,Antenna << Outline,天線 << 摘要,アンテナ 輪郭 <<,안테나 << 개요,Antenne << Aperçu,Antenna << Vázlat,Antena << Contorno,触角 << 轮廓,Antenne << Umriss,Антенна << Схема
BackHair,Hair Rear,Hair Rear,頭髮後部,後ろ髪,헤어 리어,Cheveux arrière,Haj Hátsó,Pelo trasero,头发 后侧,Haare hinten,Волосы сзади
BackHairOutline,Hair Rear Outline,Hair Rear Outline,頭髮後輪廓,後ろ髪 輪郭,헤어 후면 윤곽선,Contour arrière des cheveux,Haj hátsó körvonala,Contorno del pelo trasero,头发 后侧 轮廓,Haare hinten Umriss,Контур волос сзади
BeverageCup,Beverage Cup,Beverage Cup,飲料杯,飲み物のカップ,음료 컵,Tasse de boisson,Italpohár,Vaso de bebida,饮料杯,Getränkebecher,Кубок для напитков
