Key,en,zh-Hant,ja,ko,fr,hu,es,zh-Hans,de,ru
MainMenu.TabHeaderLable.Editor,Editor,編輯,エディター,편집자,Éditeur,Szerkesztő,Editor,编辑器,Editor,Редактор
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",您確定要刪除字元“{0}”嗎？此操作無法撤銷。,キャラクター「{0}」を削除しますか？この操作は元に戻せません。,"""{0}"" 문자를 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.","Êtes-vous sûr de vouloir supprimer le caractère ""{0}"" ? Cette action ne peut pas être annulée.","Biztosan törölni szeretné a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.","¿Confirmas que quieres eliminar el personaje ""{0}""? Esta acción no se puede deshacer.",您确定要删除角色“{0}”吗？此操作不可撤销。,"Bist du sicher, dass du den Charakter „{0}“ löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","Вы уверены, что хотите удалить символ ""{0}""? Это действие невозможно отменить."
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",字元“{0}”已存在。您確定要覆蓋字元“{0}”嗎？此操作無法撤銷。,キャラクター「{0}」はすでに存在します。上書きしますか？この操作は元に戻せません。,"문자 ""{0}""이(가) 이미 존재합니다. ""{0}"" 문자를 덮어쓰시겠습니까? 이 작업은 취소할 수 없습니다.","Le caractère ""{0}"" existe déjà. Êtes-vous sûr de vouloir remplacer le caractère « {0} » ? Cette action ne peut pas être annulée.","A(z) ""{0}"" karakter már létezik. Biztosan felül szeretné írni a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.","El personaje ""{0}"" ya existe. ¿Quieres sobreescribir el personaje ""{0}""? Esta acción no se puede deshacer.",角色“{0}”已存在。您确定要覆盖角色“{0}”吗？此操作不可撤销。,"Der Charakter „{0}“ ist bereits vorhanden. Bist du sicher, dass du den Charakter „{0}“ überschreiben möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","Персонаж ""{0}"" уже существует. Вы уверены, что хотите перезаписать символ ""{0}""? Это действие невозможно отменить."
MainMenu.Confirm,Confirm,確認,確認,확인하다,Confirmer,Erősítse meg,Confirmar,确认,Bestätigen,Подтверждать
MainMenu.Cancel,Cancel,取消,キャンセル,취소,0Annuler,Mégse,0Cancelar,取消,0Abbrechen,0Отмена
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,請輸入角色名稱：,キャラクター名を入力してください,캐릭터 이름을 입력해주세요:,Veuillez saisir un nom de personnage :,"Kérjük, írjon be egy karakternevet:",Por favor ingresa el nombre del personaje:,请输入角色名：,Bitte gib einen Charakternamen ein:,"Пожалуйста, введите имя персонажа:"
MainMenu.Editor.Model,Models,型號,モデル,모델,Modèles,Modellek,Modelos,模型,Modelle,Модели
MainMenu.Editor.Character,Character,特點,キャラクター,성격,Personnage,Karakter,Personaje,角色,Charakter,Характер
MainMenu.Editor.Animation,Animation,卡通,アニメーション,생기,Animation,Animáció,Animación,动画,Animation,Анимация
MainMenu.Editor.PartsSelection,Choose Parts,選擇零件,パーツ選択,부품 선택,Choisir des pièces,Válassza az Alkatrészek lehetőséget,Elije las partes,部件选择,Teile auswählen,Выберите детали
MainMenu.Editor.PartsAdjustment,Adjustment,調整,調整,조정,Ajustement,Beállítás,Ajustes,部件调整,Einstellung,Корректирование
MainMenu.Search,Search...,搜尋...,検索…,찾다...,Recherche...,Keresés...,Buscar...,搜索……,Suchen...,Поиск...
MainMenu.Editor.SaveCharacter,Save Character,儲存角色,キャラクターを保存,캐릭터 저장,Enregistrer le personnage,Karakter mentése,Guardar personaje,保存角色,Charakter speichern,Сохранить персонажа
MainMenu.Editor.Unload,Clear Character,鮮明的性格,キャラクターを初期化,문자 지우기,Caractère clair,Tiszta karakter,Limpiar personaje,重置角色,Charakter zurücksetzen,Ясный характер
MainMenu.Editor.DeleteCharacter,Delete Character,刪除角色,キャラクターを削除,캐릭터 삭제,Supprimer un personnage,Karakter törlése,Eliminar personaje,删除角色,Charakter löschen,Удалить персонажа
MainMenu.Editor.UseCustomTextures,Use Custom Textures,使用自訂紋理,カスタムテクスチャを使用,사용자 정의 텍스처 사용,Utiliser des textures personnalisées,Egyéni textúrák használata,Utilizar texturas personalizadas,使用自定义贴图,Benutzerdefinierte Texturen verwenden,Используйте пользовательские текстуры
MainMenu.Editor.ReloadTextures,Reload Textures,重新加載紋理,テクスチャを再読み込み,텍스처 다시 로드,Recharger les textures,Textúrák újratöltése,Recargar texturas,重新加载贴图,Texturen neu laden,Перезагрузить текстуры
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,打開自訂紋理資料夾,カスタムテクスチャフォルダを開く,사용자 정의 텍스처 폴더 열기,Ouvrir le dossier de textures personnalisées,Nyissa meg az Egyéni textúra mappát,Abrir carpeta de texturas personalizada,打开自定义贴图文件夹,Ordner für benutzerdefinierte Texturen öffnen,Открыть папку с пользовательскими текстурами
MainMenu.Editor.Color,Color,顏色,色,색상,Couleur,Szín,Color,颜色,Farbe,Цвет
